✓ Log: [INFO] [SERVER] Starting server...
✓ Serveur démarré sur 0.0.0.0:5050
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51646
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51654
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51656
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51666
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51678
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33138
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33140
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33150
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33166
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33178
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43254
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43270
